item,model,brand
ca.pcpartpicker.com//0,997727300,planar
ca.pcpartpicker.com//1,lt1952p,lenovo
ca.pcpartpicker.com//10,td2240,viewsonic
ca.pcpartpicker.com//100,vx2270smh,viewsonic
ca.pcpartpicker.com//101,lt2252p,lenovo
ca.pcpartpicker.com//102,lt2252p,lenovo
ca.pcpartpicker.com//103,s2202wh,eizo
ca.pcpartpicker.com//104,vx238h,asus
ca.pcpartpicker.com//105,bl2710pt,benq
ca.pcpartpicker.com//106,22mp55hq,lg
ca.pcpartpicker.com//107,32wl30ms,lg
ca.pcpartpicker.com//108,up3214q,dell
ca.pcpartpicker.com//109,h236hlbid,acer
ca.pcpartpicker.com//11,ls24a650ss,samsung
ca.pcpartpicker.com//110,va2342,viewsonic
ca.pcpartpicker.com//111,ips235p,lg
ca.pcpartpicker.com//112,e2210p,lg
ca.pcpartpicker.com//113,s22a460b,samsung
ca.pcpartpicker.com//114,s27a850d,samsung
ca.pcpartpicker.com//115,u2412m,dell
ca.pcpartpicker.com//116,pxl2451mw,planar
ca.pcpartpicker.com//117,s241hl,acer
ca.pcpartpicker.com//118,g195wab,acer
ca.pcpartpicker.com//119,v226hqlabd,acer
ca.pcpartpicker.com//12,e231i,hp
ca.pcpartpicker.com//120,v226hql,acer
ca.pcpartpicker.com//121,v226hqlabmdp,acer
ca.pcpartpicker.com//122,z22i,hp
ca.pcpartpicker.com//123,pxl2240mw,planar
ca.pcpartpicker.com//124,220b4lpcb,philips
ca.pcpartpicker.com//125,zr2740w,hp
ca.pcpartpicker.com//126,pl1920m,planar
ca.pcpartpicker.com//127,p2012h,dell
ca.pcpartpicker.com//128,cg245w,eizo
ca.pcpartpicker.com//129,e222w,nec
ca.pcpartpicker.com//13,va705,viewsonic
ca.pcpartpicker.com//130,b326hul,acer
ca.pcpartpicker.com//131,xl2720z,benq
ca.pcpartpicker.com//132,,acer
ca.pcpartpicker.com//133,s20b300b,samsung
ca.pcpartpicker.com//134,v241,hp
ca.pcpartpicker.com//135,l197,lenovo
ca.pcpartpicker.com//136,v3212,nec
ca.pcpartpicker.com//137,s236hltmjj,acer
ca.pcpartpicker.com//138,pl1900,planar
ca.pcpartpicker.com//139,g246hyl,acer
ca.pcpartpicker.com//14,pa242w,nec
ca.pcpartpicker.com//140,s24c350hl,samsung
ca.pcpartpicker.com//141,mx270w,eizo
ca.pcpartpicker.com//142,2200wa,doublesight
ca.pcpartpicker.com//143,ex231wp,nec
ca.pcpartpicker.com//144,e3f38a8,hp
ca.pcpartpicker.com//145,v322,nec
ca.pcpartpicker.com//146,vg2239m,viewsonic
ca.pcpartpicker.com//147,s1923h,eizo
ca.pcpartpicker.com//148,vg2228wm,viewsonic
ca.pcpartpicker.com//149,c2234sw,3m
ca.pcpartpicker.com//15,c9v73a8,hp
ca.pcpartpicker.com//150,m2901scbn,lg
ca.pcpartpicker.com//151,v243hl,acer
ca.pcpartpicker.com//152,cg246,eizo
ca.pcpartpicker.com//153,ea191m,nec
ca.pcpartpicker.com//154,nc241,samsung
ca.pcpartpicker.com//155,i2769vm,aoc
ca.pcpartpicker.com//156,va2249s,viewsonic
ca.pcpartpicker.com//157,pa301w,nec
ca.pcpartpicker.com//158,vx248h,asus
ca.pcpartpicker.com//159,23cav42k,lg
